Problem,Precision,Recall,F1_Score
1.st,0.83625328540802,0.9524046182632446,0.8905576467514038
10.st,0.790283739566803,0.733275294303894,0.7607129216194153
11.st,0.8603548407554626,0.7903474569320679,0.8238666653633118
12.st,0.8680387735366821,0.770160436630249,0.8161755800247192
13.st,0.932530403137207,0.9430332183837891,0.9377524256706238
14.st,0.9326268434524536,0.9299402236938477,0.9312816262245178
15.st,0.7870978713035583,0.9007686376571655,0.8401056528091431
16.st,0.9279212951660156,0.919522762298584,0.9237029552459717
17.st,0.8558163642883301,0.9199861288070679,0.8867418766021729
18.st,0.873937726020813,0.9285136461257935,0.9003994464874268
19.st,0.7248553037643433,0.8701179623603821,0.7908717393875122
2.st,0.7629703283309937,0.8130682110786438,0.7872229814529419
20.st,0.8651736974716187,0.8979297280311584,0.8812474012374878
21.st,0.9771105647087097,0.7367146611213684,0.840052604675293
22.st,0.8978620171546936,0.8217577934265137,0.8581258654594421
3.st,0.8723020553588867,0.8129377961158752,0.8415743708610535
4.st,0.8553192019462585,0.8616560101509094,0.858475923538208
5.st,0.9061510562896729,0.9288378357887268,0.9173542857170105
6.st,0.9312005043029785,0.9011800289154053,0.9159443378448486
7.st,0.8045732975006104,0.91292405128479,0.8553309440612793
8.st,0.853958010673523,0.7705054879188538,0.8100880980491638
9.st,0.6608055830001831,0.7808451056480408,0.7158278226852417
AVERAGE,0.8535064892335371,0.8589285043152896,0.8537915078076449
