Problem,Precision,Recall,F1_Score
1.st,0.78167325258255,0.9319859743118286,0.8502373099327087
10.st,0.7022439241409302,0.7048801779747009,0.7035596370697021
11.st,0.7898932695388794,0.7145904302597046,0.7503572702407837
12.st,0.7537609934806824,0.7593824863433838,0.7565612196922302
13.st,0.761248767375946,0.900530993938446,0.8250529170036316
14.st,0.7025725841522217,0.8612211346626282,0.773849368095398
15.st,0.7195837497711182,0.855790913105011,0.7817991375923157
16.st,0.8154809474945068,0.8603377342224121,0.8373090028762817
17.st,0.7106434106826782,0.8597415685653687,0.7781144976615906
18.st,0.7116344571113586,0.8829220533370972,0.7880783677101135
19.st,0.740847110748291,0.8758103251457214,0.8026951551437378
2.st,0.7692490816116333,0.792160153388977,0.7805364727973938
20.st,0.7384945154190063,0.9068914651870728,0.8140757083892822
21.st,0.9238367080688477,0.7546514272689819,0.8307174444198608
22.st,0.8711225390434265,0.8168801069259644,0.8431298732757568
3.st,0.8249536156654358,0.8315825462341309,0.8282548785209656
4.st,0.776995062828064,0.8675956130027771,0.8197997808456421
5.st,0.7437777519226074,0.8148632645606995,0.7776995897293091
6.st,0.8695594668388367,0.9037781953811646,0.8863387703895569
7.st,0.72515869140625,0.8587511777877808,0.7863210439682007
8.st,0.7694573402404785,0.7989678382873535,0.7839349508285522
9.st,0.65077143907547,0.8473620414733887,0.7361680865287781
AVERAGE,0.7660435763272372,0.8363944373347543,0.7970268401232633
