Problem,Precision,Recall,F1_Score
1.st,0.9036665558815002,0.9629507064819336,0.932367205619812
10.st,0.7697299718856812,0.7988350987434387,0.7840124368667603
11.st,0.9264220595359802,0.8447791934013367,0.8837190270423889
12.st,0.7420951128005981,0.7990496158599854,0.7695199251174927
13.st,0.8232448697090149,0.9379346966743469,0.8768554329872131
14.st,0.7432311773300171,0.8976316452026367,0.8131670951843262
15.st,0.8208794593811035,0.9185284972190857,0.8669630289077759
16.st,0.8156495094299316,0.8902430534362793,0.851315438747406
17.st,0.8129682540893555,0.9392526745796204,0.871559739112854
18.st,0.8369624614715576,0.940980076789856,0.8859285116195679
19.st,0.838576078414917,0.9400542974472046,0.8864203691482544
2.st,0.7070596814155579,0.8319685459136963,0.7644453048706055
20.st,0.773677408695221,0.9318826794624329,0.8454425930976868
21.st,0.8489277958869934,0.8309745788574219,0.8398553133010864
22.st,0.8417455554008484,0.8302135467529297,0.8359397649765015
3.st,0.7968602180480957,0.8558400273323059,0.8252977132797241
4.st,0.8254440426826477,0.8673821091651917,0.8458936214447021
5.st,0.8618499040603638,0.9308779239654541,0.8950349688529968
6.st,0.8955972194671631,0.9298715591430664,0.9124126434326172
7.st,0.7817791700363159,0.9178783893585205,0.8443797826766968
8.st,0.8473749756813049,0.8522849678993225,0.8498229384422302
9.st,0.7847221493721008,0.8547202348709106,0.8182268142700195
AVERAGE,0.8181119832125577,0.8865515508434989,0.8499354394999418
